year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,normalized_degree,canonical_degree
2018,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine ##,na,na,na,na,na,na,na,na,medicine,Medicine
2018,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,83.7,56.6,3169,3070,3322,3200,2800,3600,arts,Arts
2018,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),87.5,60.8,3290,3300,3377,3300,3000,3600,arts (hons),Arts (Hons)
2018,Singapore University of Social Sciences,School of Business,Bachelor of Accountancy,98.7,97.5,2858,2850,2879,3000,2700,3000,accountancy,Accountancy
2018,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.2,74.5,3459,3400,3526,3400,3200,3800,social sciences,Social Sciences
2018,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4148,4050,4228,4050,4000,4450,dental surgery,Dental Surgery
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),79.4,69.8,3357,3300,3444,3389,3280,3650,(biomedical engineering),(Chemical Engineering)
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),89.9,84.1,3768,3700,4050,4000,3500,4300,(chemical engineering),(Chemical Engineering)
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),91.8,89.8,3520,3500,3627,3500,3300,3900,(civil engineering),(Chemical Engineering)
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),91,83.4,3712,3600,3982,3700,3400,4546,(electrical engineering),(Chemical Engineering)
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science) **,na,na,na,na,na,na,na,na,(engineering science),(Engineering Science)
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),88.9,74.6,3411,3300,3518,3400,3000,3868,(environmental engineering),(Environmental Engineering)
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),91.5,87.8,3889,3800,4051,3895,3600,4500,(industrial and systems engineering),(Industrial And Systems Engineering)
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),88.6,86.4,3550,3600,3794,3600,3500,4305,(materials science and engineering),(Materials Science And Engineering)
2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),92.8,86.9,3684,3500,3877,3700,3300,4100,(mechanical engineering),(Chemical Engineering)
2018,National University of Singapore,Faculty of Law,Bachelor of Laws #,97.3,92.6,5070,5000,5263,5500,4500,5840,laws,Laws
2018,National University of Singapore,Faculty of Science,Bachelor of Science,81.6,47.2,3146,3000,3289,3100,2900,3850,science,Science
2018,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),87.3,72.8,3371,3300,3460,3400,3000,3725,(hons),(Hons)
2018,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,na,na,na,na,na,na,na,na,(computational biology),Computing (Computational Biology)
2018,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) #,96.6,93.2,3549,3500,3723,3650,3500,3900,(pharmacy),(Pharmacy)
2018,National University of Singapore,NUS Business School,Bachelor of Business Administration,95.7,84.8,3633,3150,3732,3225,3000,3750,business administration,Business Administration
2018,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),96.6,90.9,4286,3800,4424,3895,3300,4748,business administration (hons),Business Administration
